origin,destination,loaded_on,discharged_on,ocean_days
Southampton,Busan,2020-01-08,2020-02-29,52
Vancouver,Nansha,2020-01-18,2020-02-25,38
Gwangyang,Piraeus,2020-01-29,2020-03-03,34
Jeddah,Kaohsiung,2020-03-03,2020-05-11,69
Xiamen,Karachi,2020-03-07,2020-04-06,30
Ba Ria,Long Beach,2020-03-19,2020-04-13,25
Oakland,Shanghai,2020-04-01,2020-04-23,22
Ningbo,Thessaloniki,2020-04-05,2020-05-22,47
Ningbo,Long Beach,2020-04-12,2020-04-30,18
Melbourne,Nansha,2020-04-13,2020-05-17,34
Beirut,Dammam,2020-04-14,2020-05-11,27
Dalian,Long Beach,2020-04-22,2020-05-27,35
Long Beach,Ningbo,2020-05-02,2020-05-23,21
Ningbo,Long Beach,2020-05-24,2020-06-11,18
Ningbo,Long Beach,2020-05-24,2020-06-11,18
Antwerpen,Manila,2020-05-26,2020-07-27,62
Yantian,Felixstowe,2020-05-27,2020-06-28,32
Pelabuhan Klang,Osaka,2020-05-28,2020-06-09,12
Dalian,La Spezia,2020-06-13,2020-08-01,49
Helsingborg,Aqaba,2020-06-15,2020-08-06,52
Ningbo,Dunkerque,2020-06-26,2020-07-28,32
Tokyo,Los Angeles,2020-07-21,2020-08-11,21
Tianjin Xingang,Los Angeles,2020-08-04,2020-08-23,19
Ningbo,Long Beach,2020-08-13,2020-09-14,32
Qingdao,Lome,2020-08-17,2020-10-07,51
Shanghai,Long Beach,2020-08-20,2020-09-22,33
Cai Mep,Long Beach,2020-08-21,2020-09-15,25
Los Angeles,Tianjin Xingang,2020-09-02,2020-09-20,18
Long Beach,Ningbo,2020-09-23,2020-10-11,18
Ningbo,Long Beach,2020-09-25,2020-10-20,25
Jiujiang,Rotterdam,2020-09-26,2020-11-03,38
Ningbo,Port Muhammad Bin Qasim,2020-09-28,2020-10-17,19
Shanghai,Rotterdam,2020-10-03,2020-11-03,31
Cai Mep,Long Beach,2020-10-15,2020-11-21,37
Qingdao,Kaohsiung,2020-10-18,2020-10-25,7
Ho Chi Minh City,Incheon,2020-10-21,2020-10-29,8
Cai Mep,Long Beach,2020-10-21,2020-11-15,25
